id,Internal Reference,Supplier / Supplier,Name,Brand,Model,description,Category,Unit of Measure,Can be Sold,Can be Purchased,Product Type,Procurement Method,Supply Method,Supplier / Supplier Pricelist / Unit Price,Supplier / Supplier Pricelist / Quantity,Supplier / Delivery Lead Time,seller_ids/min_qty
Product_01064,09V1210,M&C TechGroup Germany GmbH,"GE SS R3/8"" - 10MM RT",M&C,,"Male connector 10mm tube - R3/8"". Material: SS316.",Fitting,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,61,1,30,1
Product_01065,09V1310,M&C TechGroup Germany GmbH,"GE SS R3/8"" - 12MM RT",M&C,,"Male connector 12mm tube - R3/8"". Material: SS316.",Fitting,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,63.2,1,30,1
Product_01066,09V1315,M&C TechGroup Germany GmbH,"GE SS R1/2"" - 12MM RT",M&C,,"Male connector 12mm tube - R1/2"". Material: SS316.",Fitting,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,74,1,30,1
Product_01067,09V1320,M&C TechGroup Germany GmbH,"GE SS R3/4"" - 12MM RT",M&C,,"Male connector 12mm tube - R3/4"". Material: SS316.",Fitting,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,73.1,1,30,1
Product_01068,09V2000,M&C TechGroup Germany GmbH,"GE SS 1/8"" NPT - 6mm",M&C,,"Male connector SS 1/8""NPT-6mm, SS-6MO-1-2.",Fitting,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,26.8,1,30,1
Product_01069,09V2005,M&C TechGroup Germany GmbH,"GE SS 1/4"" NPT - 6mm",M&C,,"Male connector, SS 316 1/4""NPT - 6mm, SS6MO-1-4.",Fitting,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,32.6,1,30,1
Product_01070,09V2105,M&C TechGroup Germany GmbH,"GE SS 1/4"" NPT - 8mm",M&C,,"Male connector SS 316 1/4""NPT- 8mm, SS8MO-1-4.",Fitting,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,38.1,1,30,1
Product_01071,09V2315,M&C TechGroup Germany GmbH,"GE SS 1/2"" NPT - 12 MM",M&C,,"Male connector SS316 1/2""NPT - 12mm, SS12MO-1-8.",Fitting,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,91.3,1,30,1
,09V2317,M&C TechGroup Germany GmbH,"GE SS 1/2"" NPT - 18 MM",M&C,,"Stainless steel 316 male connector for tube 18mm - 1/2""NPT.",Fitting,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,99.1,1,30,1
Product_01072,09V3115,M&C TechGroup Germany GmbH,Überwurfmutter SS-6M2-1,M&C,,"Nut Swagelok SS 6mm, SS 6M2-1.",Fitting,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,7.58,1,30,1
Product_01073,09V3120,M&C TechGroup Germany GmbH,Überwurfmutter SS-8M2-1,M&C,,"Nut Swagelok, 8mm SS-8M2-1.",Fitting,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,10.4,1,30,1
